key,coffee,category,calories,caffeine,price,,,,,,,,,,,,
0,Green Tea,TEA,0,25,0.10,,,,,,,,,,,,
1,Espresso,COFFEE,5,65,0.05,,,,,,,,,,,,
2,Yerba Mate,TEA,5,85,0.03,,,,,,,,,,,,
3,Double Espresso,COFFEE,6,130,0.04,,,,,,,,,,,,
4,Americano,COFFEE,15,225,0.02,,,,,,,,,,,,
5,Americano + milk,COFFEE,30,225,0.02,,,,,,,,,,,,
6,English Breakfast + 1 sugar,TEA,39,26,0.13,,,,,,,,,,,,
7,Turkish Coffee ,COFFEE,46,25,0.12,,,,,,,,,,,,
8,Red Bull,SOFT DRINK,46,77,0.03,,,,,,,,,,,,
9,Sugar-free Hot Chocolate,CHOCOLATE,60,5,0.50,,,,,,,,,,,,
10,Instant Coffee + 2 sugars,COFFEE,83,47,0.01,,,,,,,,,,,,
11,Café Crème,COFFEE,106,225,0.02,,,,,,,,,,,,
12,Cappuccino ,COFFEE,120,150,0.03,,,,,,,,,,,,
13,Pepsi,SOFT DRINK,138.6,38,0.03,,,,,,,,,,,,
14,Coke ,SOFT DRINK,150,32,0.03,,,,,,,,,,,,
15,Latte,COFFEE,190,150,0.03,,,,,,,,,,,,
16,Dark Chocolate Bar ,NON-DRINK,205,42,0.03,,,,,,,,,,,,
17,Mocha (small),COFFEE,220,195,0.02,,,,,,,,,,,,
18,Chai Latte ,TEA,240,95,0.05,,,,,,,,,,,,
19,Lucozade,SOFT DRINK,266,46,0.02,,,,,,,,,,,,
20,Mountain Dew,SOFT DRINK,290,91,0.01,,,,,,,,,,,,
21,Spiced Hot Chocolate ,CHOCOLATE,320,25,0.24,,,,,,,,,,,,
22,Ghana-Java Hot Chocolate ,CHOCOLATE,380,25,0.24,,,,,,,,,,,,
23,Vanilla Cream Frappuccino ,COFFEE,400,65,0.10,,,,,,,,,,,,
24,Frappuccino ,COFFEE,410,110,0.06,,,,,,,,,,,,
25,Caramel Sticky Mocha ,COFFEE,420,110,0.05,,,,,,,,,,,,
26,Mocha (big),COFFEE,430,150,0.04,,,,,,,,,,,,
27,Hot choc + marshmallows,CHOCOLATE,480,25,0.23,,,,,,,,,,,,
28,Coffee Ice Cream ,NON-DRINK,500,48,0.06,,,,,,,,,,,,






































































































































































































































































































































































































































































































































































































































































































































































































































































































































key,coffee,coffeeArabic,caloriesActual,caffeineActual,priceMGActual,category,calories,caffeine,priceMG,silhouette,,,,,,,
0,Green Tea,Green Tea,0,25,0.10,TEA,0,25,0.10,tea,,,,,,,
1,Pain relieving medication ,Pain relieving medication ,0,30,0.01,NON-DRINK,0,30,0.01,pill,,,,,,,
2,Diet Coke ,Diet Coke ,0,42,0.02,SOFT DRINK,0,42,0.02,can,,,,,,,
3,Pain relieving medication ,Pain relieving medication ,0,90,0.00,NON-DRINK,0,90,0.00,pill,,,,,,,
4,Pepsi One,Pepsi One,1,55,0.02,SOFT DRINK,1,55,0.02,can,,,,,,,
5,Earl Grey,Earl Grey,2,58,0.06,TEA,2,58,0.06,tea,,,,,,,
6,English Breakfast,English Breakfast,2,58,0.06,TEA,2,58,0.06,tea,,,,,,,
